Title,ID
Effector T<sub>H</sub>17 Cells Give Rise to Long-Lived T<sub>RM</sub> Cells that Are Essential for an Immediate Response against Bacterial Infection.,31442406
MHC-class I-restricted CD4 T cells: a nanomolar affinity TCR has improved anti-tumor efficacy in vivo compared to the micromolar wild-type TCR.,22926060
A B Cell Epitope Peptide Derived from the Major Grass Pollen Allergen Phl p 1 Boosts Allergen-Specific Secondary Antibody Responses without Allergen-Specific T Cell Help.,28093528
