Title,ID
γδ T cells shape memory-phenotype αβ T cell populations in non-immunized mice.,31237933
Transformation of the tumour microenvironment by a CD40 agonist antibody correlates with improved responses to PD-L1 blockade in a mouse orthotopic pancreatic tumour model.,26918344
Peptidylarginine deiminase 4 contributes to tumor necrosis factor α-induced inflammatory arthritis.,24497204
Role of the NF-κB transcription factor c-Rel in the generation of CD8+ T-cell responses to Toxoplasma gondii.,21118906
